""Popolazione residente al 1° Gennaio 2020 per sesso età (b) e stato civile (n)""
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Piemonte,41,12180,14411,900,40,34,0,0,27565,8587,17158,1621,203,18,1,0,27588
Piemonte,42,12104,15589,1056,45,27,0,0,28821,8711,18537,1806,204,23,0,0,29281
Piemonte,43,12177,16691,1256,47,29,0,0,30200,8390,19696,2189,272,26,1,0,30574
Piemonte,44,12203,18165,1511,55,42,0,0,31976,8544,21084,2500,316,35,1,0,32480
Piemonte,45,12193,19561,1770,71,48,1,0,33644,8319,22198,2794,337,26,2,0,33676
Piemonte,46,11805,19838,1950,75,47,0,0,33715,7919,22314,2825,416,26,0,0,33500
Piemonte,47,11033,21135,2081,130,32,1,1,34413,7563,23172,3247,452,22,0,0,34456
Piemonte,48,10686,21517,2292,136,38,2,0,34671,7036,24370,3332,565,17,2,0,35322
Piemonte,49,9883,21933,2392,144,33,0,0,34385,6652,23994,3563,676,25,0,0,34910
Piemonte,50,9629,23113,2622,182,39,2,0,35587,6409,25251,3770,720,15,0,0,36165
Piemonte,51,8849,23532,2703,214,45,3,0,35346,5789,25311,3899,870,23,1,0,35893
Piemonte,52,8297,23798,2826,243,41,0,1,35206,5625,25322,3992,1021,24,1,0,35985
Piemonte,53,8002,24293,3006,283,38,0,0,35622,5257,25797,3982,1052,14,0,0,36102
Piemonte,54,7323,24493,3117,293,47,0,0,35273,4978,25686,4127,1290,19,0,0,36100
Piemonte,55,6900,25016,3287,349,36,0,0,35588,4725,26550,4160,1382,14,1,1,36833
Piemonte,56,5974,23861,2976,369,33,0,1,33214,4174,24784,3869,1500,9,0,0,34336
Piemonte,57,5358,22989,2846,440,30,0,1,31664,3754,24156,3680,1741,14,0,1,33346
Piemonte,58,4972,23109,2838,380,34,0,1,31334,3457,23940,3559,1965,7,0,0,32928
Piemonte,59,4465,22527,2772,453,27,0,1,30245,3096,23155,3447,2227,6,0,0,31931
Piemonte,60,4222,22374,2581,520,28,2,0,29727,2847,22506,3213,2282,5,0,0,30853
Piemonte,61,3865,21876,2381,590,19,1,0,28732,2570,22046,3063,2475,11,1,0,30166
Piemonte,62,3618,21767,2400,640,26,0,0,28451,2488,21960,2847,2762,8,0,0,30065
Piemonte,63,3280,21480,2165,672,21,0,0,27618,2248,21532,2736,2978,11,0,0,29505
Piemonte,64,3052,21274,1990,758,23,0,0,27097,2146,20930,2496,3294,6,1,0,28873
Piemonte,65,2888,20746,1968,838,11,0,0,26451,1944,20712,2364,3684,6,0,0,28710
Piemonte,66,2627,20275,1760,898,15,1,1,25577,1845,19736,2116,3871,6,0,0,27574
Piemonte,67,2518,20318,1678,998,11,0,0,25523,1772,19351,1994,4289,12,0,0,27418
Piemonte,68,2324,19752,1421,1104,12,0,0,24613,1630,19165,1837,4634,6,0,0,27272
Piemonte,69,2326,20560,1399,1212,17,0,0,25514,1604,19693,1819,5374,1,0,1,28492
Piemonte,70,2171,20914,1322,1369,9,0,0,25785,1531,19481,1691,5886,2,0,0,28591
Piemonte,71,2226,21729,1273,1582,12,0,2,26824,1600,19904,1679,6936,5,0,1,30125
Piemonte,72,2022,21211,1181,1682,10,0,1,26107,1519,18948,1555,7227,3,0,0,29252
Piemonte,73,1835,20309,1103,1821,11,0,0,25079,1420,17794,1441,7873,2,0,0,28530
Piemonte,74,1426,15237,773,1464,8,0,0,18908,1093,13097,950,6649,1,0,0,21790
Piemonte,75,1457,15914,704,1749,7,0,0,19831,1201,13440,1003,7751,1,0,0,23396
Piemonte,76,1412,15268,601,1816,3,0,0,19100,1216,12786,963,8503,0,0,0,23468
Piemonte,77,1411,15090,565,2034,10,0,0,19110,1230,12150,954,9116,2,0,0,23452
Piemonte,78,1445,14607,547,2105,6,0,0,18710,1319,11608,789,10004,0,0,0,23720
Piemonte,79,1420,15482,563,2508,4,0,0,19977,1366,11728,745,11819,2,0,1,25661
Piemonte,80,1347,14703,443,2724,5,0,0,19222,1411,10696,721,12353,2,0,0,25183
Piemonte,81,1265,13710,423,2746,5,0,0,18149,1270,9326,678,12810,0,0,0,24084
Piemonte,82,1051,11620,352,2704,2,0,1,15730,1239,7661,537,12234,0,0,0,21671
Piemonte,83,841,10057,250,2653,1,0,0,13802,1155,6048,437,11851,0,0,0,19491
Piemonte,84,855,9113,230,2637,2,0,0,12837,1185,5159,401,12525,0,0,0,19270
Piemonte,85,693,7716,171,2477,2,0,1,11060,1010,4200,326,12134,0,0,0,17670
Piemonte,86,582,6275,141,2392,1,0,0,9391,1027,3226,289,11508,0,0,0,16050
Piemonte,87,524,5342,120,2240,0,0,0,8226,985,2556,219,11195,0,0,0,14955
Piemonte,88,469,4473,80,2114,2,0,0,7138,937,1981,200,10593,0,0,0,13711
Piemonte,89,411,3859,64,1992,2,0,0,6328,947,1529,168,10100,0,0,0,12744
Piemonte,90,291,2749,54,1642,0,0,0,4736,798,1015,144,8520,0,0,0,10477
Piemonte,91,208,1947,33,1392,0,0,0,3580,672,671,118,7180,3,0,0,8644
Piemonte,92,194,1403,28,1188,0,0,0,2813,588,466,89,6117,0,0,0,7260
Piemonte,93,127,898,14,894,1,0,0,1934,447,298,73,4944,0,0,0,5762
Piemonte,94,78,615,9,671,0,0,0,1373,386,189,57,3808,0,0,0,4440
Piemonte,95,70,377,4,514,1,0,0,966,310,97,31,2887,0,0,0,3325
Piemonte,96,48,228,7,421,0,0,0,704,228,68,30,2223,0,0,0,2549
Piemonte,97,45,132,1,259,0,0,0,437,189,41,25,1719,0,0,0,1974
Piemonte,98,18,78,1,179,0,0,0,276,143,14,19,1158,0,0,0,1334
Piemonte,99,9,44,1,112,0,0,0,166,80,12,7,743,0,0,0,842
Piemonte,100,8,25,1,108,0,0,0,142,112,10,6,826,0,0,0,954
Piemonte,Totale,959255,992788,79149,62507,1327,20,12,2095058,802885,1008153,111519,292832,741,23,6,2216159
Valle d'Aosta/Vallée d'Aoste,0,418,0,0,0,0,0,0,418,417,0,0,0,0,0,0,417
Valle d'Aosta/Vallée d'Aoste,1,476,0,0,0,0,0,0,476,417,0,0,0,0,0,0,417
Valle d'Aosta/Vallée d'Aoste,2,475,0,0,0,0,0,0,475,413,0,0,0,0,0,0,413
Valle d'Aosta/Vallée d'Aoste,3,498,0,0,0,0,0,0,498,453,0,0,0,0,0,0,453
Valle d'Aosta/Vallée d'Aoste,4,485,0,0,0,0,0,0,485,476,0,0,0,0,0,0,476
Valle d'Aosta/Vallée d'Aoste,5,550,0,0,0,0,0,0,550,500,0,0,0,0,0,0,500
Valle d'Aosta/Vallée d'Aoste,6,519,0,0,0,0,0,0,519,514,0,0,0,0,0,0,514
Valle d'Aosta/Vallée d'Aoste,7,573,0,0,0,0,0,0,573,551,0,0,0,0,0,0,551
Valle d'Aosta/Vallée d'Aoste,8,608,0,0,0,0,0,0,608,574,0,0,0,0,0,0,574
Valle d'Aosta/Vallée d'Aoste,9,581,0,0,0,0,0,0,581,574,0,0,0,0,0,0,574
Valle d'Aosta/Vallée d'Aoste,10,639,0,0,0,0,0,0,639,585,0,0,0,0,0,0,585
Valle d'Aosta/Vallée d'Aoste,11,619,0,0,0,0,0,0,619,585,0,0,0,0,0,0,585
Valle d'Aosta/Vallée d'Aoste,12,623,0,0,0,0,0,0,623,584,0,0,0,0,0,0,584
Valle d'Aosta/Vallée d'Aoste,13,652,0,0,0,0,0,0,652,583,0,0,0,0,0,0,583
Valle d'Aosta/Vallée d'Aoste,14,582,0,0,0,0,0,0,582,560,0,0,0,0,0,0,560
Valle d'Aosta/Vallée d'Aoste,15,582,0,1,0,0,0,0,583,590,0,2,0,0,0,0,592
Valle d'Aosta/Vallée d'Aoste,16,595,0,0,0,0,0,0,595,587,0,0,0,0,0,0,587
Valle d'Aosta/Vallée d'Aoste,17,595,0,0,0,0,0,0,595,520,0,0,0,0,0,0,520
Valle d'Aosta/Vallée d'Aoste,18,625,0,0,0,0,0,0,625,557,0,1,0,0,0,0,558
Valle d'Aosta/Vallée d'Aoste,19,636,0,0,0,0,0,0,636,588,2,0,0,0,0,0,590
Valle d'Aosta/Vallée d'Aoste,20,622,0,0,0,0,0,0,622,562,8,0,0,0,0,0,570
Valle d'Aosta/Vallée d'Aoste,21,632,1,0,0,0,0,0,633,554,13,0,0,1,0,0,568
Valle d'Aosta/Vallée d'Aoste,22,585,2,1,0,0,0,0,588,522,22,0,0,0,0,0,544
Valle d'Aosta/Vallée d'Aoste,23,624,6,0,0,0,0,0,630,562,22,2,0,0,0,0,586
Valle d'Aosta/Vallée d'Aoste,24,596,14,0,0,0,0,0,610,511,33,0,0,0,0,0,544
Valle d'Aosta/Vallée d'Aoste,25,557,24,0,0,0,0,0,581,498,62,1,0,0,0,0,561
Valle d'Aosta/Vallée d'Aoste,26,559,26,1,0,0,0,0,586,474,75,1,0,0,0,0,550
Valle d'Aosta/Vallée d'Aoste,27,613,37,0,0,0,0,0,650,463,117,3,0,0,0,0,583
Valle d'Aosta/Vallée d'Aoste,28,554,64,0,0,1,0,0,619,460,112,2,2,1,0,0,577
Valle d'Aosta/Vallée d'Aoste,29,559,64,2,0,0,0,0,625,455,181,5,1,1,0,0,643
Valle d'Aosta/Vallée d'Aoste,30,547,111,1,0,1,0,0,660,377,191,5,3,2,0,0,578
Valle d'Aosta/Vallée d'Aoste,31,509,138,4,0,0,0,0,651,394,224,11,1,0,0,0,630
Valle d'Aosta/Vallée d'Aoste,32,465,148,2,0,0,0,0,615,364,250,9,3,0,0,0,626
Valle d'Aosta/Vallée d'Aoste,33,416,184,4,1,0,0,0,605,346,278,12,2,1,0,0,639
Valle d'Aosta/Vallée d'Aoste,34,456,192,9,0,0,0,0,657,355,276,9,2,0,0,0,642
Valle d'Aosta/Vallée d'Aoste,35,433,223,8,0,0,0,0,664,326,298,22,0,0,0,0,646
Valle d'Aosta/Vallée d'Aoste,36,399,289,12,0,2,0,0,702,318,335,26,2,0,0,0,681
Valle d'Aosta/Vallée d'Aoste,37,372,292,15,0,0,0,0,679,319,372,34,3,2,0,0,730
Valle d'Aosta/Vallée d'Aoste,38,355,282,16,1,3,0,0,657,261,377,28,3,3,0,0,672
Valle d'Aosta/Vallée d'Aoste,39,388,340,30,0,0,0,0,758,245,393,36,8,0,0,0,682
Valle d'Aosta/Vallée d'Aoste,40,344,353,26,0,0,0,0,723,250,402,36,12,1,0,0,701
Valle d'Aosta/Vallée d'Aoste,41,459,392,27,2,1,0,0,881,310,464,50,3,0,0,0,827
Valle d'Aosta/Vallée d'Aoste,42,359,438,39,0,2,0,0,838,298,457,57,7,2,0,0,821
Valle d'Aosta/Vallée d'Aoste,43,397,427,37,1,0,0,0,862,291,558,61,7,2,1,0,920
Valle d'Aosta/Vallée d'Aoste,44,413,431,45,1,0,0,0,890,303,570,67,10,1,0,0,951
Valle d'Aosta/Vallée d'Aoste,45,426,506,52,1,0,0,0,985,308,574,81,6,1,0,0,970
Valle d'Aosta/Vallée d'Aoste,46,353,574,66,1,3,0,0,997,273,603,113,15,2,0,0,1006
Valle d'Aosta/Vallée d'Aoste,47,372,553,54,4,1,0,0,984,284,628,103,18,0,0,0,1033
Valle d'Aosta/Vallée d'Aoste,48,338,604,74,6,0,0,0,1022,262,680,116,22,0,0,0,1080
Valle d'Aosta/Vallée d'Aoste,49,357,575,78,3,1,0,0,1014,244,647,134,25,0,0,0,1050
Valle d'Aosta/Vallée d'Aoste,50,336,629,106,5,2,0,0,1078,264,727,116,16,0,0,0,1123
Valle d'Aosta/Vallée d'Aoste,51,323,618,86,6,1,1,0,1035,221,687,143,26,0,0,0,1077
Valle d'Aosta/Vallée d'Aoste,52,305,643,108,7,1,0,0,1064,230,699,138,44,0,0,0,1111
Valle d'Aosta/Vallée d'Aoste,53,327,639,123,13,1,0,0,1103,206,714,139,40,1,0,0,1100
Valle d'Aosta/Vallée d'Aoste,54,251,690,106,8,0,0,0,1055,181,704,132,41,0,0,0,1058
Valle d'Aosta/Vallée d'Aoste,55,267,750,121,7,1,0,0,1146,202,721,152,40,1,0,0,1116
Valle d'Aosta/Vallée d'Aoste,56,238,687,118,17,0,0,0,1060,150,690,124,53,1,0,0,1018
Valle d'Aosta/Vallée d'Aoste,57,186,641,87,15,0,0,0,929,126,681,120,56,0,0,0,983
Valle d'Aosta/Vallée d'Aoste,58,208,658,118,14,2,0,0,1000,129,631,129,51,0,0,0,940
Valle d'Aosta/Vallée d'Aoste,59,152,581,102,10,1,0,0,846,110,621,122,62,0,0,0,915
Valle d'Aosta/Vallée d'Aoste,60,147,646,96,16,0,0,0,905,107,635,121,89,0,0,0,952
Valle d'Aosta/Vallée d'Aoste,61,160,564,74,19,0,0,0,817,74,605,100,70,0,0,0,849
Valle d'Aosta/Vallée d'Aoste,62,136,584,79,14,0,0,0,813,97,554,113,84,0,0,0,848
Valle d'Aosta/Vallée d'Aoste,63,114,590,80,15,0,0,0,799,64,566,89,80,0,0,0,799
Valle d'Aosta/Vallée d'Aoste,64,105,553,70,24,2,0,0,754,70,591,96,110,1,0,0,868
Valle d'Aosta/Vallée d'Aoste,65,118,564,59,24,0,0,0,765,68,562,80,116,0,1,0,827
Valle d'Aosta/Vallée d'Aoste,66,110,603,57,22,0,0,0,792,59,526,64,119,0,0,0,768
Valle d'Aosta/Vallée d'Aoste,67,109,555,55,25,0,0,0,744,55,510,60,124,0,0,0,749
Valle d'Aosta/Vallée d'Aoste,68,88,551,62,36,0,0,0,737,50,536,57,130,0,0,0,773
Valle d'Aosta/Vallée d'Aoste,69,93,543,47,41,0,0,0,724,57,519,57,144,0,0,0,777
Valle d'Aosta/Vallée d'Aoste,70,80,574,63,31,0,0,0,748,57,534,61,182,0,0,0,834
Valle d'Aosta/Vallée d'Aoste,71,85,582,43,46,3,0,0,759,47,528,72,189,0,0,0,836
Valle d'Aosta/Vallée d'Aoste,72,63,589,41,51,2,0,0,746,30,455,54,196,0,0,0,735
Valle d'Aosta/Vallée d'Aoste,73,72,515,43,45,0,0,0,675,29,453,48,203,0,0,0,733
Valle d'Aosta/Vallée d'Aoste,74,64,363,24,38,0,0,0,489,30,349,30,184,0,0,0,593
Valle d'Aosta/Vallée d'Aoste,75,58,430,26,55,0,0,0,569,24,308,33,214,0,0,0,579
Valle d'Aosta/Vallée d'Aoste,76,57,441,25,57,0,0,0,580,35,323,33,231,0,0,0,622
Valle d'Aosta/Vallée d'Aoste,77,53,432,15,54,0,0,0,554,20,310,28,274,0,0,0,632
Valle d'Aosta/Vallée d'Aoste,78,59,385,18,62,0,0,0,524,41,299,20,299,0,0,0,659
Valle d'Aosta/Vallée d'Aoste,79,63,392,18,67,0,0,0,540,42,274,33,333,0,0,0,682
Valle d'Aosta/Vallée d'Aoste,80,39,365,10,63,0,0,0,477,37,259,20,321,0,0,0,637
Valle d'Aosta/Vallée d'Aoste,81,30,354,11,82,1,0,0,478,40,230,18,352,0,0,0,640
Valle d'Aosta/Vallée d'Aoste,82,32,285,12,69,0,0,0,398,38,181,13,345,0,0,0,577
Valle d'Aosta/Vallée d'Aoste,83,28,232,8,70,0,0,0,338,25,135,17,336,0,0,0,513
Valle d'Aosta/Vallée d'Aoste,84,22,203,8,63,0,0,0,296,32,111,19,306,0,0,0,468
Valle d'Aosta/Vallée d'Aoste,85,24,154,6,58,0,0,0,242,31,93,10,306,0,0,0,440
Valle d'Aosta/Vallée d'Aoste,86,22,156,4,54,0,0,0,236,27,92,5,315,0,0,0,439
Valle d'Aosta/Vallée d'Aoste,87,17,117,5,53,0,0,0,192,36,59,6,279,0,0,0,380
Valle d'Aosta/Vallée d'Aoste,88,15,99,4,57,0,0,0,175,24,46,5,282,0,0,0,357
Valle d'Aosta/Vallée d'Aoste,89,10,100,3,49,0,0,0,162,26,44,8,277,0,0,0,355
Valle d'Aosta/Vallée d'Aoste,90,14,75,2,45,0,0,0,136,19,28,2,227,0,0,0,276
Valle d'Aosta/Vallée d'Aoste,91,8,52,2,34,0,0,0,96,17,19,3,207,0,0,0,246
Valle d'Aosta/Vallée d'Aoste,92,2,32,0,29,0,0,0,63,19,17,1,168,0,0,0,205
Valle d'Aosta/Vallée d'Aoste,93,5,17,1,27,0,0,0,50,17,5,1,141,0,0,0,164
Valle d'Aosta/Vallée d'Aoste,94,2,26,2,19,0,0,0,49,5,6,3,103,0,0,0,117
Valle d'Aosta/Vallée d'Aoste,95,4,7,0,9,0,0,0,20,4,4,2,72,0,0,0,82
Valle d'Aosta/Vallée d'Aoste,96,3,3,1,9,0,0,0,16,6,5,0,62,0,0,0,73
Valle d'Aosta/Vallée d'Aoste,97,0,3,0,9,0,0,0,12,1,0,1,49,0,0,0,51
Valle d'Aosta/Vallée d'Aoste,98,0,2,0,3,0,0,0,5,2,0,2,40,0,0,0,44
Valle d'Aosta/Vallée d'Aoste,99,1,0,1,2,0,0,0,4,4,0,1,20,0,0,0,25
Valle d'Aosta/Vallée d'Aoste,100,0,1,0,5,0,0,0,6,1,0,0,23,0,0,0,24
Valle d'Aosta/Vallée d'Aoste,Totale,30095,26565,2754,1674,32,1,0,61121,25103,26870,3728,8186,24,2,0,63913
Lombardia,0,37093,0,0,0,0,0,0,37093,35467,0,0,0,0,0,0,35467
Lombardia,1,39098,0,0,0,0,0,0,39098,36924,0,0,0,0,0,0,36924
Lombardia,2,41028,0,0,0,0,0,0,41028,38592,0,0,0,0,0,0,38592
Lombardia,3,42056,0,0,0,0,0,0,42056,40244,0,0,0,0,0,0,40244
Lombardia,4,43830,0,0,0,0,0,0,43830,41237,0,0,0,0,0,0,41237
Lombardia,5,44709,0,0,0,0,0,0,44709,42533,0,0,0,0,0,0,42533
Lombardia,6,45838,0,0,0,0,0,0,45838,42983,0,0,0,0,0,0,42983
Lombardia,7,47353,0,0,0,0,0,0,47353,44660,0,0,0,0,0,0,44660
Lombardia,8,48448,0,0,0,0,0,0,48448,45543,0,0,0,0,0,0,45543
Lombardia,9,50128,0,0,0,0,0,0,50128,46654,0,0,0,0,0,0,46654
Lombardia,10,50771,0,0,0,0,0,0,50771,47893,0,0,0,0,0,0,47893
Lombardia,11,50809,0,0,0,0,0,0,50809,47928,0,0,0,0,0,0,47928
Lombardia,12,50304,0,0,0,0,0,0,50304,47264,0,0,0,0,0,0,47264
Lombardia,13,50620,0,0,0,0,0,0,50620,47347,0,0,0,0,0,0,47347
Lombardia,14,49488,0,0,0,0,0,0,49488,46241,0,0,0,0,0,0,46241
Lombardia,15,49195,0,1,0,0,0,0,49196,46883,0,0,0,0,0,0,46883
Lombardia,16,48738,0,0,0,0,0,0,48738,45351,0,1,0,0,0,0,45352
Lombardia,17,48076,1,0,0,0,0,0,48077,44763,4,2,0,0,0,0,44769
Lombardia,18,48965,0,0,0,0,0,0,48965,45425,48,0,0,0,0,0,45473
Lombardia,19,50434,7,0,0,0,0,0,50441,45851,266,0,1,0,0,0,46118
Lombardia,20,50209,69,5,0,2,0,0,50285,44976,518,7,1,2,1,0,45505
Lombardia,21,51180,107,5,0,4,0,0,51296,44299,1004,7,0,2,0,0,45312
Lombardia,22,50383,221,1,0,3,0,0,50608,44018,1505,16,1,6,2,0,45548
Lombardia,23,49625,409,3,0,9,1,0,50047,43397,2224,17,3,5,0,0,45646
Lombardia,24,48561,778,12,0,9,0,0,49360,42400,3190,34,0,5,0,0,45629
Lombardia,25,48395,1240,20,1,16,0,0,49672,41936,4619,48,5,11,0,0,46619
Lombardia,26,48424,1980,29,1,21,0,0,50455,41692,6135,103,11,18,0,0,47959
Lombardia,27,49200,3133,37,0,27,0,0,52397,41081,8597,135,10,15,2,0,49840
Lombardia,28,47900,4741,52,3,23,0,0,52719,39253,11221,190,12,18,1,0,50695
Lombardia,29,47368,6710,106,3,45,2,1,54235,37548,14445,292,20,27,0,0,52332
Lombardia,30,44863,9281,170,1,34,3,0,54352,35290,17457,392,30,31,2,0,53202
Lombardia,31,43997,12222,199,5,65,1,0,56489,32666,21033,549,38,36,1,0,54323
Lombardia,32,40308,14546,285,6,70,1,0,55216,29157,23926,692,59,42,1,0,53877
Lombardia,33,37929,17367,361,9,73,1,0,55740,27303,26069,892,65,49,0,0,54378
Lombardia,34,36647,20166,524,14,71,0,0,57422,26124,29020,1160,87,39,0,0,56430
Lombardia,35,35065,23257,671,16,56,2,0,59067,24497,31511,1286,124,57,2,0,57477
Lombardia,36,33526,25886,794,22,86,1,0,60315,23629,33750,1675,168,50,1,0,59273
Lombardia,37,32777,28808,1040,38,69,0,0,62732,22671,36582,1876,187,61,3,0,61380
Lombardia,38,31366,30515,1232,40,94,3,1,63251,21839,37403,2196,253,52,1,0,61744
Lombardia,39,30323,32667,1331,63,74,2,0,64460,20907,39364,2498,245,56,0,1,63071
Lombardia,40,29360,35007,1643,59,92,3,0,66164,20332,41002,2911,312,53,0,0,64610
Lombardia,41,29738,38090,2045,83,83,1,1,70041,20148,44162,3348,354,50,2,0,68064
Lombardia,42,29625,40889,2293,106,109,0,1,73023,20272,46343,3861,444,60,2,1,70983
Lombardia,43,29663,43121,2819,127,76,0,0,75806,20034,48863,4254,537,48,3,0,73739
Lombardia,44,30133,47048,3181,143,106,1,1,80613,20382,52639,4994,621,54,0,0,78690
Lombardia,45,29613,49716,3708,181,126,0,1,83345,19944,54674,5434,727,52,0,1,80832
Lombardia,46,27707,50727,4007,207,112,1,0,82761,19037,55528,5829,822,42,1,1,81260
Lombardia,47,26502,52717,4297,245,109,0,0,83870,17885,56475,6196,968,43,0,0,81567
Lombardia,48,25014,54094,4744,295,101,1,4,84253,16656,56979,6519,1123,54,0,0,81331
Lombardia,49,22988,54689,4968,332,119,0,4,83100,15553,57299,6849,1265,52,3,0,81021
Lombardia,50,21920,56933,5513,355,109,1,1,84832,15284,59299,7285,1529,33,0,0,83430
Lombardia,51,20849,57636,5509,433,123,1,1,84552,14165,59440,7400,1737,44,2,0,82788
