""Popolazione residente al 1° Gennaio 2020 per sesso età (b) e stato civile (n)""
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Sardegna,89,190,1273,11,590,0,0,0,2064,571,392,34,2904,0,0,0,3901
Sardegna,90,145,924,7,474,0,0,0,1550,488,292,18,2484,1,0,0,3283
Sardegna,91,114,719,7,401,0,0,0,1241,447,204,25,2129,0,0,0,2805
Sardegna,92,85,540,4,292,0,0,0,921,325,140,18,1752,0,0,0,2235
Sardegna,93,78,385,2,302,0,0,0,767,293,90,9,1443,0,0,0,1835
Sardegna,94,44,212,2,222,0,0,0,480,191,58,7,1078,0,0,0,1334
Sardegna,95,23,160,0,191,0,0,0,374,171,51,6,899,0,0,0,1127
Sardegna,96,27,116,1,135,0,0,0,279,120,25,2,607,0,0,0,754
Sardegna,97,12,70,1,115,0,0,0,198,84,18,5,472,0,0,0,579
Sardegna,98,8,48,0,70,0,0,0,126,43,12,3,319,0,0,0,377
Sardegna,99,10,22,0,50,0,0,0,82,39,6,1,260,0,0,0,306
Sardegna,100,4,36,0,57,0,0,0,97,61,3,3,294,0,0,0,361
Sardegna,Totale,390153,362217,19840,19285,196,3,2,791696,334517,363153,24734,97405,109,3,4,819925

"b = Interruzione della serie storica"
"n = La variabile stato civile viene diffusa come dato anticipatorio in quanto ancora in corso di validazione"
